feature_name,feature_importance,rank,fold_number
ela_meta.lin_simple.intercept,0.2865466931281895,1,1
ic.eps.s,0.28551426330952084,2,1
disp.ratio_mean_10,0.13288312403604868,3,1
pca.expl_var_PC1.cov_init,0.10353737698924828,4,1
ela_level.lda_qda_25,0.07992307160820153,5,1
ela_distr.number_of_peaks,0.04937133740973804,6,1
ela_distr.skewness,0.0440734576943496,7,1
nbc.nn_nb.cor,0.03277035601465707,8,1
ela_level.lda_qda_50,0.024798883154221515,9,1
ela_level.mmce_qda_10,0.023735837958884586,10,1
ela_level.lda_mda_50,0.022805479202155973,11,1
ela_meta.lin_simple.coef.max_by_min,0.02129843574309586,12,1
ela_level.mmce_mda_50,0.02051840287137388,13,1
ela_meta.quad_simple.cond,0.01933509878522781,14,1
pca.expl_var_PC1.cor_x,0.014216798500245806,15,1
ela_meta.lin_simple.adj_r2,0.011430242830754132,16,1
ela_level.lda_mda_25,0.010830616437749503,17,1
ela_level.lda_qda_10,0.01032538167868856,18,1
ela_meta.quad_w_interact.adj_r2,0.008735350273663069,19,1
pca.expl_var.cor_init,0.008273110403512977,20,1
ela_level.qda_mda_25,0.006989698441272506,21,1
ela_level.qda_mda_50,0.006105983461851149,22,1
ela_level.mmce_lda_50,0.005068969502839739,23,1
ela_level.lda_mda_10,0.004989205596175197,24,1
ela_level.mmce_lda_10,0.0028100945082970377,25,1
nbc.nb_fitness.cor,0.0025780943624905744,26,1
ela_level.mmce_lda_25,0.00241914004130626,27,1
ela_meta.lin_simple.intercept,0.2584548439561519,1,2
ic.eps.s,0.24176820016968587,2,2
disp.ratio_mean_10,0.1256310448986429,3,2
pca.expl_var_PC1.cov_init,0.09911845963234403,4,2
ela_level.lda_qda_25,0.06953050073130676,5,2
ela_level.lda_qda_10,0.06517360524576148,6,2
ela_level.mmce_mda_50,0.06497265801531625,7,2
ela_meta.lin_w_interact.adj_r2,0.051319794611592626,8,2
ela_meta.quad_simple.adj_r2,0.040937009135299025,9,2
ela_distr.number_of_peaks,0.03978299712418283,10,2
ela_distr.skewness,0.03816805663531954,11,2
ela_level.mmce_qda_10,0.032905178317764565,12,2
ela_level.lda_mda_25,0.02938265300935097,13,2
nbc.nn_nb.cor,0.021501095879809258,14,2
ela_level.lda_qda_50,0.02057398837831137,15,2
ela_level.lda_mda_50,0.0204825084702212,16,2
ela_level.lda_mda_10,0.017077883573625798,17,2
ela_meta.lin_simple.coef.max_by_min,0.016578162592375437,18,2
ela_meta.quad_simple.cond,0.015324526506311326,19,2
ela_level.qda_mda_25,0.00739902963759931,20,2
ela_level.qda_mda_50,0.006773197989833805,21,2
pca.expl_var.cor_init,0.005007543621624038,22,2
pca.expl_var_PC1.cor_x,0.004976063252304541,23,2
ela_level.mmce_lda_25,0.0039158504935223725,24,2
ela_level.mmce_lda_50,0.00378479669584075,25,2
nbc.nb_fitness.cor,0.002572527975397394,26,2
ela_level.mmce_lda_10,0.0025008562687729757,27,2
ela_meta.lin_simple.intercept,0.3681732617517205,1,3
ic.eps.s,0.3184789738388147,2,3
disp.ratio_mean_10,0.14361173457634155,3,3
pca.expl_var_PC1.cov_init,0.08169929473553096,4,3
ela_distr.number_of_peaks,0.0714373322493286,5,3
ela_distr.skewness,0.04030809274904295,6,3
ela_level.lda_qda_25,0.03605598880418357,7,3
ela_level.lda_qda_50,0.02527889988238136,8,3
nbc.nn_nb.cor,0.025104801978463688,9,3
ela_level.mmce_qda_10,0.022340360040840813,10,3
ela_meta.lin_simple.coef.max_by_min,0.019904670103887627,11,3
ela_level.lda_mda_10,0.01974183114442861,12,3
ela_level.mmce_mda_50,0.017192829498347998,13,3
ela_level.lda_mda_50,0.01661918997410519,14,3
ela_meta.quad_simple.cond,0.015538452869818847,15,3
pca.expl_var_PC1.cor_x,0.014381779326649078,16,3
ela_level.lda_qda_10,0.0141173753712491,17,3
ela_level.mmce_mda_10,0.010440673949049618,18,3
