feature_name,feature_importance,rank
ic.eps.max,0.2820214877883997,1
ic.eps.s,0.166312737246529,2
pca.expl_var_PC1.cov_init,0.1066407367076064,3
ela_meta.quad_simple.cond,0.0336778557521272,4
ela_distr.number_of_peaks,0.0276429879406216,5
ela_level.lda_mda_10,0.0250026754002563,6
ela_level.lda_qda_25,0.0229467567036717,7
ela_level.lda_mda_50,0.0160301181759262,8
ela_level.mmce_mda_50,0.0153006322334855,9
ela_meta.quad_w_interact.adj_r2,0.0151600694730111,10
ela_distr.skewness,0.0147089221058734,11
ela_meta.lin_simple.coef.max_by_min,0.01367233501747,12
ela_level.mmce_lda_50,0.0126219239137503,13
ela_level.lda_qda_10,0.0108468681593255,14
nbc.nb_fitness.cor,0.0098397248059226,15
ela_level.lda_qda_50,0.0095704051704156,16
ela_level.qda_mda_25,0.0074520591409201,17
disp.ratio_mean_10,0.0057420084671516,18
ela_level.qda_mda_50,0.0050680230793372,19
ela_level.mmce_lda_10,0.00434188140191,20
ela_level.mmce_lda_25,0.0038867192567564,21
nbc.nn_nb.cor,0.0033979944632441,22
pca.expl_var_PC1.cor_x,0.0025788943795022,23
ela_level.lda_mda_25,0.0023980789632223,24
pca.expl_var.cor_init,0.002222155210289,25
ela_meta.lin_simple.adj_r2,0.0019576938745835,26
