feature_name,feature_importance,rank
ela_meta.lin_simple.intercept,0.4797905016756939,1
ic.eps.s,0.2905414910628467,2
pca.expl_var_PC1.cov_init,0.09090700165546142,3
disp.ratio_mean_10,0.08351095295448702,4
ela_level.lda_qda_25,0.07345303621547739,5
ela_distr.number_of_peaks,0.033844616852353474,6
ela_level.lda_qda_10,0.03261494922787139,7
ela_distr.skewness,0.032175558397538516,8
ela_level.lda_mda_50,0.02958584893508885,9
ela_meta.lin_simple.adj_r2,0.025624782005778092,10
ela_meta.lin_simple.coef.max_by_min,0.024877484119096835,11
ela_level.lda_mda_25,0.02328946475063455,12
ela_level.lda_mda_10,0.023105244044831854,13
ela_level.lda_qda_50,0.021596542710623213,14
ela_meta.quad_simple.cond,0.020513706089937623,15
ela_level.mmce_mda_50,0.012613015427599926,16
ela_level.mmce_qda_10,0.012323529727493924,17
ela_meta.quad_w_interact.adj_r2,0.01081576647036841,18
nbc.nn_nb.cor,0.010500996532668594,19
nbc.nb_fitness.cor,0.009756064806989463,20
ela_level.qda_mda_50,0.008885736143660266,21
pca.expl_var_PC1.cor_x,0.006587260748225182,22
ela_level.qda_mda_25,0.006385717913036878,23
ela_level.mmce_lda_10,0.005616955398749896,24
ela_level.mmce_lda_50,0.005460516695762889,25
ela_level.mmce_lda_25,0.0048297496850598426,26
pca.expl_var.cor_init,0.0026318693820916042,27
