disp.ratio_mean_10,ela_distr.number_of_peaks,ela_distr.skewness,ela_level.lda_mda_10,ela_level.lda_mda_25,ela_level.lda_mda_50,ela_level.lda_qda_25,ela_level.lda_qda_50,ela_level.mmce_lda_25,ela_level.mmce_lda_50,ela_level.mmce_mda_10,ela_level.qda_mda_10,ela_level.qda_mda_25,ela_level.qda_mda_50,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_simple.coef.min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.cond,ic.eps.ratio,ic.m0,nbc.nb_fitness.cor,nbc.nn_nb.cor,pca.expl_var.cor_init,pca.expl_var.cov_init,pca.expl_var_PC1.cor_init,pca.expl_var_PC1.cor_x,fold_number,disp.ratio_median_02,ela_level.mmce_lda_10,ela_level.mmce_mda_50,ela_level.mmce_qda_10,nbc.nn_nb.mean_ratio,ela_level.lda_qda_10,ela_meta.lin_simple.adj_r2,ic.eps.s,pca.expl_var_PC1.cov_init,ela_level.mmce_qda_50,ela_meta.lin_simple.intercept,disp.diff_median_25,ic.h.max,disp.ratio_median_10,ela_level.mmce_qda_25,ela_distr.kurtosis
0.1590909090909091,0.09090909090909091,0.1590909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.1590909090909091,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.1590909090909091,0.0,1,,,,,,,,,,,,,,,,
,0.20270270270270271,0.0,0.0,0.0,0.0,0.0,0.0945945945945946,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.20270270270270271,0.0,0.0,0.0,0.20270270270270271,0.2972972972972973,2,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
0.0,0.22857142857142856,0.22857142857142856,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.22857142857142856,,0.22857142857142856,0.0,0.0,0.0,0.0,0.0,3,,,0.0,,,0.0,,,,,,,,,,
,0.0,0.3409090909090909,0.0,0.0,0.0,0.0,0.1590909090909091,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,4,0.0,0.0,0.0,,,,0.0,0.5,,,,,,,,
,0.0,0.09696969696969697,0.0,0.0,0.0,0.0,0.04242424242424243,0.09696969696969697,0.09696969696969697,0.0,0.0,0.0,0.0,0.0,0.0,0.09696969696969697,0.0,,,0.09696969696969697,0.0,0.19393939393939394,0.0,,0.0,5,0.0,,0.09696969696969697,,0.0,,0.09696969696969697,0.08484848484848485,,,,,,,,
0.0,0.0,0.1553398058252427,0.0,0.0,0.0,0.0,0.06796116504854369,0.1553398058252427,0.1553398058252427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1553398058252427,,0.3106796116504854,0.0,0.0,0.0,6,,,0.0,,0.0,,,,,,,,,,,
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,7,,0.0,,0.0,,,0.0,,0.0,,,,,,,
,0.0,0.0,0.0,0.0,0.0,0.0,0.13725490196078433,0.0,0.0,0.29411764705882354,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.29411764705882354,0.0,0.0,0.0,8,0.0,,0.0,0.0,,0.0,,0.27450980392156865,,,,,,,,
0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,,,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,,,0.07692307692307693,0.07692307692307693,0.0,0.0,,0.0,9,,0.07692307692307693,0.0,,,0.07692307692307693,0.0,0.07692307692307693,,,,,,,,
0.0,0.0,0.2318840579710145,0.0,0.0,0.0,0.0,0.10144927536231885,0.0,0.0,0.2318840579710145,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.2318840579710145,0.0,0.0,0.0,0.0,0.0,10,,,,,,0.0,,0.2028985507246377,,,,,,,,
